,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,Billion Kwh,50.587,47.561,47.201,49.033,50.794,53.114,54.623,59.143,61.451,63.692,66.36,67.17,67.377,66.105,67.275,69.309,70.833,73.42695,77.33711,78.572,77.99376,74.06752,76.282,78.76056,79.49996,80.61608,79.3191,82.41244,78.76178,84.84878,88.64514,84.2855,77.32536,77.63655,67.59478,65.71262,0,0
Belize,Billion Kwh,0.051,0.052,0.053,0.055,0.063,0.067,0.07,0.075,0.085,0.089,0.142,0.158,0.172,0.188,0.175,0.182,0.186,0.2,0.1922,0.2012,0.20423,0.174971,0.174964,0.199273,0.182295,0.190358,0.248099,0.253711,0.215679,0.20723,0.27123,0.25223,0.226,0.268,0.267,0.248,0,0
Benin,Billion Kwh,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.019,0.022,0.023,0.024,0.048,0.029,0.0487,0.0517,0.0597,0.0677,0.07908,0.06216,0.05934,0.07532,0.0762,0.10064,0.146,0.20798,0.21644,0.12138,0.10916,0.09694,0.04712,0.08948,0.22766,0.31162,0,0
Bermuda,Billion Kwh,0.311,0.32,0.331,0.345,0.358,0.37,0.387,0.409,0.431,0.438,0.461,0.482,0.486,0.487,0.495,0.49,0.494,0.498,0.51,0.55,0.595,0.643681818,0.643,0.624,0.627164,0.652436,0.666401,0.67555,0.685,0.69372,0.686411,0.674,0.647,0.625,0.61,0.662,0,0
Bhutan,Billion Kwh,0.016,0.02,0.022,0.022,0.02,0.011,0.304,1.17,1.532,1.533,1.548,1.561,1.605,1.605,1.659,1.716,1.853,1.821,1.784,1.783,1.793,1.9211,2.178,2.504,2.33,2.621,4.475,6.496,6.892,6.929,7.256,6.976,6.746,7.532,7.151,7.732,0,0
Bolivia,Billion Kwh,1.522,1.632,1.635,1.626,1.48,1.477,1.481,1.485,1.833,1.951,2.122,2.315,2.308,2.379,2.705,2.879,3.096,3.319,3.532,3.747,3.77514,3.85118,4.04638,4.17454,4.36286,4.694,5.080281,5.512107,5.599,5.903,6.48644,6.91194,7.32584,7.7118,8.35382,8.151,0,0
Bosnia and Herzegovina,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,6.304,3.245,4.162,4.32,7.157,8.471,9.282,10.191,10.0579,10.25858,10.40098,10.8151,12.26306,12.14576,12.80288,11.27702,14.17664,15.04026,16.49812,14.58242,13.44798,16.7671,15.4885,14.96932,0,0
Botswana,Billion Kwh,0.443,0.502,0.489,0.434,0.445,0.456,0.538,0.846,0.8,0.797,0.852,0.879,1.088,1.027,1.044,1.047,0.759,0.87,1.026,1.043,0.89018,0.9494,0.84224,0.68056,0.73978,0.81498,0.746,0.578,0.552,0.417,0.50008,0.44932,0.329,0.86768,2.17428,2.78904,0,0
Brazil,Billion Kwh,138.279,140.1135,150.06856,160.48032,178.0788,190.64208,199.24124,200.41602,211.75266,218.27164,219.95256,231.43902,238.84014,249.251122,256.895752,272.19787,287.65529,304.27491,317.81987,329.68948,342.57352,323.16798,340.29716,358.89562,381.18166,395.72128,411.92528,437.18658,454.67754,458.66574,506.74832,522.9198,542.48656,559.00272,577.04888,568.65012,0,0
Brunei,Billion Kwh,0.439,0.479,0.534,0.682,0.781,0.852,0.901,0.938,1.047,1.089,1.163,1.256,1.324,1.454,1.563,1.848,1.996,2.263,2.353,2.288,2.39042,2.42426,2.53894,2.99954,3.06816,3.06816,3.10012,3.1913,3.21762,3.39528,3.56448,3.49962,3.69432,4.138,4.23576,3.94812,0,0
