,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brazil,Billion Kwh,1.9,2,2.4,3.2,3.1,3.1,3.2,3.6,3.4,3.3,3.859,4,4.899,4.954,5.388,5.594,6.754,7.3831,7.5101,8.3681,7.8461,9.0151,10.2801,11.9551,12.5371,13.6842,14.9602,18.6702,20.6542,23.8402,33.673,34.941,40.294,46.978,58.224,70.492,0,0
Brunei,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0,0
Bulgaria,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.029,0.015,0,0.011,0.006,0.02,0.022,0.027,0.053,0.138,0.248,0.731,1.016,2.097,2.84,2.78,3.102,0,0
Burkina Faso,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burma (Myanmar),Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.008,0.014,0.015,0.017,0.018,0.019,0.021,0.023,0.023,0.023,0.014,0.02,0.041,0,0
Cameroon,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643,0.076,0.077,0.071,0.059,0.061,0.064,0.068,0.072,0.076,0,0
Canada,Billion Kwh,1.2,1.8,2,2,2.2,1.6,1.7,2.2,2.3,3.3,3.999,4.023,4.57,4.93,5.846,5.754,5.958,6.999,7.432,8.509,8.536,8.998,9.51,9.938,9.817,10.7,11.269,11.535,10.981,14.581,19.385,20.957,22.288,29.229,37.06,41.841,0,0
Cape Verde,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.005,0.006,0.007,0.007,0.008,0.008,0.008,0.006,0.006,0.005,0.006,0.006,0.007,0.007,0.006,0.007,0.002,0.016,0.06,0.1,0.149,0.142,0,0
Cayman Islands,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
